qseqid	NV001	NV002	NV003	NV004	NV005	NV006	NV007	NV008	NV009	NT010	NT011	NT012	NT013	NT014	NT015	NT016	NT017	NT018	NH019	NH020	NH021	NH022	NH023	NH024	NH025	NH026	VU027	VU028	VU029	VU030	VU031	VU032	VU033	VU034	VU035	VO036	VO037	VO038	VO039	VO040	VO041	VO042	VO043	VD044	VD045	VD046	VD047	VD048	VD049	VD050	VD051	VD052	EM053	EM054	EM055	EM056	EM057	EM058	EM059	EM060	EM061	ES062	ES063	ES064	ES065	ES066	ES067	ES068	ES069	ES070	EV071	EV072	EV073	EV074	EV075	EV076	EV077	EV078	SN079	SN080	SN081	SN082	SN083	SN084	SN085	SN086	SN087	SV088	SV089	SV090	SV091	SV092	SV093	SV094	SV095	SM096	SM097	SM098	SM099	SM100	SM101	SM102	SM103	SM104	FF105	FF106	FF107	FF108	FF109	FF110	FF111	FF112	FL113	FL114	FL115	FL116	FL117	FL118	FL119	FL120	FM121	FM122	FM123	FM124	FM125	FM126	FM127	FM128	FM129	FM130
964d9b7061ef1c05338496d58cb5d86c7098cd18	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2805	2180	0	0	0	0	0	0	0	0	0	0	0	954	0	0	0	0	0	297	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	182	0	0	0	0	0	0	0	0	0	0	4089	0	0	0	0	0	0	0
b8186d42bab3228e84591b0519e6e58641636aad	0	82	0	931	0	1347	371	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	918	255	0	0	265	800	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	51	0	0	0	7	0	0	0	0	0	0	0	0	2151	129	0	56	0	19	451	1288	2	0	5	0	0	0	757	206	0	0	1117	73	0	0	0	0	0	0	0	2383	6	0	0	0	164	0	4	0	0	0	367	0	0	2169	0
2a5db416d4508997bb26c087a4e6bf13581162b2	0	0	0	0	0	0	0	16	0	0	1024	1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682	0	0	2454	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d6dec44ccef38dc549e2b8414055a3aeacb8c1fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	119	0	1447	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	13	0	1402	956	7	0	689	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	191	18	184	0	0	0	0	0	0	0	0	0	511	0	604	203	0	1816	469	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	422	0	1020	0	0	261	1043	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
d8639652ae3cc62c9e8d8dbba5429758fdb52121	161	0	0	0	0	0	0	0	0	0	0	0	0	350	271	0	0	0	0	0	0	0	0	0	0	0	197	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1741	0	0	0	0	374	33	0	0	0	0	0	0	0	0	0	0	1861	266	0	0	0	0	0	0	0	0	46	6085	0	0	1791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f2541315dffd75a9966668f1dc03c19d77502925	49	399	17	0	8	0	700	285	0	0	2	0	33	0	0	0	14	91	20	86	202	14	35	15	0	59	30	110	8	0	27	308	123	11	0	738	30	0	172	0	24	0	28	0	0	227	129	166	521	33	904	0	11	0	19	593	0	295	25	48	12	7	0	0	6	8	3	0	4	192	1135	1221	0	60	40	176	0	0	14	170	154	573	42	4	273	18	59	1284	136	30	4	15	98	1185	430	80	254	89	0	482	913	0	0	0	219	198	284	0	7	56	0	0	50	21	0	201	574	328	195	0	1438	278	10	0	0	32	67	197	0	5095
704cf394736eafa10991e1f7d8f68cd3a939b3d9	223	0	0	290	9	269	0	0	20	949	14	67	116	19	43	2624	208	1363	52	1482	2610	90	97	214	148	482	59	18	1290	161	215	56	131	3665	91	0	0	178	568	1642	0	0	496	635	734	559	844	1176	1266	405	0	194	796	46	5	862	844	0	2694	89	0	0	0	339	298	225	300	88	943	261	232	256	4135	0	1603	764	425	1389	0	94	6058	1135	0	0	83	72	1186	854	540	259	219	0	449	5	557	9	2108	229	179	551	0	130	270	0	2689	797	1118	0	529	221	27	177	931	630	2316	447	6	2	861	0	419	0	250	0	0	104	0	0	63	1313
4f78c2818258106555f3571f94544b0583bcbce2	0	2194	3	53	106	281	341	23	0	251	0	0	4	0	0	588	0	148	0	38	0	0	714	19	387	0	0	67	621	0	98	252	136	227	0	0	73	796	0	2148	182	0	58	102	49	8	0	0	0	0	191	0	345	0	211	74	244	138	476	656	0	0	0	182	0	329	0	0	16	59	0	244	918	352	2228	18	0	6	0	1898	0	710	315	0	78	0	0	1051	1456	16	353	397	64	1086	659	0	0	0	2	455	166	51	0	494	0	1130	48	12	512	247	34	19	0	18	208	89	286	120	827	354	50	0	224	822	2040	268	0	136	177	0
e5a1019de27a96f0f56f40ccc4199fc4a400add1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a33b286d62016c1ef7aba07a0030b4da1593683	0	0	0	0	0	0	0	0	542	0	0	0	130	0	0	0	5545	0	31	24	0	463	277	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	1691	0	0	0	0	0	0	393	281	0	122	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	27	0	0	0	0	0	0	0	39	0	0	0	202	0	0	0	0	230	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	151	225	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
